timestamp,ip,mac
2026-04-15 22:42:58,192.168.0.1,98:25:4a:b4:64:0e
2026-04-15 22:42:58,192.168.0.103,4c:23:38:ac:f4:41
2026-04-15 22:50:59,192.168.0.103,4c:23:38:ac:f4:41
2026-04-15 22:52:56,192.168.0.103,4c:23:38:ac:f4:41
2026-04-15 22:52:56,192.168.0.1,98:25:4a:b4:64:0e
2026-04-15 22:56:06,192.168.0.1,98:25:4a:b4:64:0e
2026-04-15 22:56:06,192.168.0.103,4c:23:38:ac:f4:41
2026-04-15 22:58:26,192.168.0.1,98:25:4a:b4:64:0e
2026-04-15 22:58:26,192.168.0.103,4c:23:38:ac:f4:41
2026-04-15 22:58:26,192.168.0.102,b6:3d:e6:c6:89:67
2026-04-15 23:01:38,192.168.0.1,98:25:4a:b4:64:0e
2026-04-15 23:01:38,192.168.0.103,4c:23:38:ac:f4:41
2026-04-15 23:08:30,192.168.0.1,98:25:4a:b4:64:0e
2026-04-15 23:08:30,192.168.0.103,4c:23:38:ac:f4:41
2026-04-15 23:08:30,192.168.0.102,b6:3d:e6:c6:89:67
2026-04-15 23:15:44,192.168.0.1,98:25:4a:b4:64:0e
2026-04-15 23:15:44,192.168.0.103,4c:23:38:ac:f4:41
2026-04-15 23:18:37,192.168.0.1,98:25:4a:b4:64:0e
2026-04-15 23:18:37,192.168.0.103,4c:23:38:ac:f4:41
2026-04-15 23:18:37,192.168.0.102,b6:3d:e6:c6:89:67
2026-04-15 23:22:22,192.168.0.1,98:25:4a:b4:64:0e
2026-04-15 23:22:22,192.168.0.103,4c:23:38:ac:f4:41
2026-04-16 12:54:12,192.168.0.103,4c:23:38:ac:f4:41
2026-04-16 13:00:44,192.168.0.1,78:8c:b5:71:1c:6f
2026-04-16 13:00:44,192.168.0.105,ce:24:3a:43:c7:9c
2026-04-16 13:00:44,192.168.0.100,3a:aa:0b:65:3d:a4
